model,year,price,transmission,mileage,mpg,engine
 5 Series,2018,21950,Automatic,21947,68.9,2
 X1,2013,8750,Manual,80625,51.4,2
 3 Series,2017,17000,Automatic,31501,134.5,2
 1 Series,2016,13750,Automatic,8707,55.5,1.5
 1 Series,2017,12800,Manual,10861,53.3,1.5
 4 Series,2017,16000,Manual,16359,46.3,2
 4 Series,2017,16600,Automatic,46913,65.7,2
 3 Series,2017,15100,Manual,37747,60.1,2
 4 Series,2017,16750,Manual,24882,46.3,2
 1 Series,2015,12450,Manual,24474,52.3,1.5
 3 Series,2018,15700,Automatic,29394,48.7,2
 5 Series,2016,12600,Manual,59528,60.1,2
 2 Series,2016,14600,Manual,15577,44.1,2
 X1,2016,13700,Manual,52226,68.9,2
 3 Series,2017,16900,Automatic,12330,64.2,2
 4 Series,2015,15998,Semi-Auto,62943,65.7,2
 X1,2020,31498,Semi-Auto,1560,60.1,2
 2 Series,2020,27998,Manual,1580,43.5,1.5
 X5,2020,54998,Semi-Auto,1500,37.7,3
 3 Series,2014,11998,Manual,11545,44.8,2
 2 Series,2020,25998,Automatic,3160,113,1.5
 1 Series,2020,31998,Semi-Auto,1560,48.7,2
 X2,2020,29998,Manual,1850,49.6,2
 X4,2019,33998,Semi-Auto,7272,42.8,2
 X4,2019,33998,Semi-Auto,7272,42.8,2
 1 Series,2017,14995,Manual,19866,65.7,2
 4 Series,2016,17995,Semi-Auto,22476,48.7,2
 1 Series,2013,14498,Semi-Auto,42786,37.7,3
 1 Series,2015,10998,Manual,42410,65.7,2
 5 Series,2014,11998,Semi-Auto,60681,57.6,2
 X1,2016,14498,Manual,57717,58.9,2
 3 Series,2017,16998,Semi-Auto,8096,51.4,2
 1 Series,2015,11498,Manual,49151,62.8,2
 X6,2017,29498,Semi-Auto,40429,47.1,3
 M4,2016,31498,Semi-Auto,21107,34,3
 1 Series,2016,19498,Semi-Auto,33043,39.8,3
 X1,2016,17998,Semi-Auto,50378,57.6,2
 5 Series,2019,25998,Semi-Auto,11115,65.7,2
 X1,2013,8298,Manual,69020,57.6,2
 8 Series,2019,61898,Semi-Auto,2650,39.8,3
 1 Series,2014,13298,Manual,55834,35.3,3
 3 Series,2019,21898,Semi-Auto,5761,55.4,2
 1 Series,2017,11498,Semi-Auto,47110,78.5,1.5
 X3,2014,17495,Semi-Auto,54075,54.3,2
 5 Series,2015,14998,Semi-Auto,45152,62.8,2
 2 Series,2014,10498,Manual,52091,58.9,2
 1 Series,2019,19998,Semi-Auto,4812,47.9,2
 X1,2016,16698,Semi-Auto,37272,44.8,2
 3 Series,2019,27998,Semi-Auto,4250,48.7,2
 5 Series,2018,27798,Semi-Auto,15711,60.1,3
 1 Series,2016,18298,Manual,21236,36.2,3
 1 Series,2017,14698,Semi-Auto,24008,55.5,1.5
 X1,2016,18498,Semi-Auto,25994,55.4,2
 X5,2015,27998,Automatic,24188,47.1,3
 X5,2015,21498,Automatic,59216,47.9,3
 1 Series,2017,19498,Manual,21171,36.2,3
 1 Series,2017,14498,Manual,24259,52.3,1.5
 5 Series,2017,22998,Semi-Auto,19379,65.7,2
 1 Series,2017,14498,Manual,20790,70.6,1.5
 5 Series,2019,29898,Semi-Auto,2743,60.1,2
 3 Series,2019,22998,Semi-Auto,6000,48.7,2
 3 Series,2019,29998,Manual,3980,53.3,2
 4 Series,2019,29898,Semi-Auto,101,60.1,2
 5 Series,2017,20498,Semi-Auto,12725,68.9,2
 3 Series,2019,27650,Semi-Auto,18200,48.7,2
 Z4,2016,18650,Semi-Auto,25300,41.5,2
 4 Series,2018,22995,Automatic,7200,48.7,2
 X6,2018,36995,Semi-Auto,6100,47.1,3
 5 Series,2018,26995,Automatic,6800,68.9,2
 1 Series,2013,11995,Manual,31600,57.6,2
 5 Series,2018,25995,Semi-Auto,8700,49.6,2
 X6,2016,29995,Automatic,43600,44.8,3
 3 Series,2018,21495,Semi-Auto,16452,48.7,2
 5 Series,2017,22998,Automatic,15838,60.1,2
 5 Series,2019,34498,Automatic,6775,51.4,3
 1 Series,2019,18498,Semi-Auto,11234,68.9,2
 7 Series,2019,45898,Semi-Auto,5893,44.1,3
 X3,2019,37898,Semi-Auto,9781,48.7,3
 X5,2016,34498,Automatic,17303,85.6,2
 1 Series,2016,17998,Manual,25334,35.3,3
 3 Series,2016,18498,Semi-Auto,36501,53.3,3
 2 Series,2019,23998,Semi-Auto,2318,47.9,2
 X1,2017,21498,Semi-Auto,14418,55.4,2
 X1,2017,18500,Semi-Auto,12160,65.7,2
 X3,2018,31000,Semi-Auto,20290,48.7,3
 X1,2016,19500,Semi-Auto,13690,57.6,2
 X5,2017,34000,Automatic,22158,47.1,3
 X5,2015,28000,Automatic,36174,47.1,3
 3 Series,2018,22000,Semi-Auto,30000,53.3,3
 1 Series,2016,16000,Manual,40125,35.3,3
 3 Series,2017,18000,Manual,20087,44.8,2
 X7,2020,78000,Semi-Auto,5000,31.4,3
 3 Series,2018,22500,Semi-Auto,11150,48.7,2
 1 Series,2018,15500,Manual,5827,37.7,1.5
 4 Series,2019,29000,Semi-Auto,14000,50.4,3
 4 Series,2019,24700,Semi-Auto,5196,65.7,2
 2 Series,2019,24000,Semi-Auto,2500,39.2,1.5
 1 Series,2018,16000,Manual,7000,50.4,1.5
 X3,2019,56000,Semi-Auto,26,24.8,3
 1 Series,2019,32000,Semi-Auto,4493,34.5,2
 X1,2018,20000,Semi-Auto,10545,60.1,2
 X1,2017,22000,Semi-Auto,16500,44.8,2
 3 Series,2016,16998,Semi-Auto,43695,134.5,2
 X3,2015,17498,Semi-Auto,48867,54.3,2
 1 Series,2017,15798,Semi-Auto,23157,54.3,1.5
 X1,2016,18998,Semi-Auto,30434,57.6,2
 3 Series,2015,20000,Semi-Auto,39700,50.4,3
 5 Series,2019,28000,Semi-Auto,5739,62.8,2
 X5,2017,41500,Automatic,18000,42.8,3
 1 Series,2018,16000,Semi-Auto,24275,68.9,1.5
 4 Series,2017,20800,Semi-Auto,14774,58.9,2
 3 Series,2018,20500,Semi-Auto,12133,48.7,2
 1 Series,2017,15500,Manual,15645,52.3,1.5
 X4,2016,25000,Semi-Auto,25085,47.9,3
 1 Series,2017,21500,Semi-Auto,19486,39.8,3
 X2,2019,30000,Semi-Auto,5431,48.7,2
 7 Series,2020,53000,Semi-Auto,6555,42.2,3
 3 Series,2014,14000,Semi-Auto,73923,52.3,3
 1 Series,2018,25990,Semi-Auto,6500,32.5,3
 X4,2018,32000,Semi-Auto,10920,42.8,2
 3 Series,2019,24300,Semi-Auto,8000,44.8,2
 5 Series,2019,33000,Semi-Auto,12250,53.3,3
 X3,2016,20500,Semi-Auto,37000,54.3,2
 3 Series,2016,19000,Semi-Auto,40500,53.3,3
 3 Series,2017,18000,Semi-Auto,33000,60.1,2
 M4,2020,51000,Semi-Auto,2000,32.5,3
 X3,2015,16500,Semi-Auto,48000,54.3,2
 4 Series,2017,19800,Manual,17410,40.9,2
 1 Series,2017,13500,Manual,25975,53.3,1.5
 1 Series,2019,18500,Semi-Auto,12054,54.3,1.5
 1 Series,2014,9300,Manual,51203,65.7,2
 X5,2019,50000,Semi-Auto,5145,37.7,3
 1 Series,2017,11800,Manual,23274,72.4,1.5
 4 Series,2018,22000,Semi-Auto,10948,60.1,2
 2 Series,2019,27500,Semi-Auto,7000,38.2,3
 5 Series,2019,28000,Semi-Auto,16000,60.1,3
 2 Series,2020,29000,Manual,5550,43.5,1.5
 3 Series,2014,16800,Semi-Auto,50687,52.3,3
 3 Series,2013,15500,Semi-Auto,46500,55.4,3
 X1,2016,19300,Semi-Auto,25300,60.1,2
 1 Series,2017,16998,Semi-Auto,12458,62.8,2
 1 Series,2017,21498,Semi-Auto,21200,39.8,3
 4 Series,2016,18998,Semi-Auto,20151,53.3,3
 X1,2017,18498,Manual,13278,58.9,2
 5 Series,2019,27000,Semi-Auto,9000,48.7,2
 2 Series,2018,18000,Semi-Auto,13174,49.6,2
 7 Series,2016,26000,Semi-Auto,39085,54.3,3
 3 Series,2017,25500,Semi-Auto,14834,51.4,3
 3 Series,2016,18000,Semi-Auto,15088,55.4,3
 1 Series,2017,16800,Semi-Auto,16761,67.3,2
 3 Series,2018,21300,Semi-Auto,18564,60.1,2
 X2,2019,29000,Semi-Auto,1418,36.2,2
 3 Series,2019,34000,Semi-Auto,5525,50.4,2
 3 Series,2017,24000,Semi-Auto,15338,49.6,3
 3 Series,2013,14990,Semi-Auto,35500,55.4,2
 5 Series,2017,30000,Semi-Auto,11086,53.3,3
 1 Series,2018,15800,Semi-Auto,11132,55.5,1.5
 1 Series,2018,16500,Semi-Auto,7656,37.2,1.5
 X3,2015,19500,Semi-Auto,41567,54.3,2
 5 Series,2019,40000,Semi-Auto,1034,39.2,3
 1 Series,2017,21800,Semi-Auto,20294,39.8,3
 3 Series,2017,20998,Semi-Auto,30422,51.4,3
 3 Series,2017,19698,Semi-Auto,20313,56.5,3
 3 Series,2016,21498,Semi-Auto,28775,51.4,3
 3 Series,2015,17200,Semi-Auto,6147,47.9,2
 X5,2013,24000,Automatic,45150,45.6,3
 1 Series,2019,26000,Manual,2073,57.7,1.5
 4 Series,2020,27000,Semi-Auto,25,48.7,2
 4 Series,2020,27500,Semi-Auto,25,60.1,2
 X5,2019,52000,Semi-Auto,6500,37.7,3
 4 Series,2019,32000,Semi-Auto,4025,50.4,3
 2 Series,2015,10498,Manual,27221,74.3,1.5
 3 Series,2013,9985,Manual,75561,68.9,2
 X4,2015,19485,Manual,53755,52.3,2
 3 Series,2013,9965,Semi-Auto,95043,62.8,2
 X1,2014,10985,Semi-Auto,56952,52.3,2
 1 Series,2017,13489,Semi-Auto,59066,72.4,1.5
 3 Series,2016,13994,Semi-Auto,46889,67.3,2
 5 Series,2019,35950,Semi-Auto,5137,51.4,3
 4 Series,2019,25490,Semi-Auto,8794,60.1,2
 5 Series,2019,34900,Semi-Auto,9854,53.3,3
 7 Series,2018,42000,Semi-Auto,7123,52.3,3
 1 Series,2014,12000,Manual,41500,57.6,2
 1 Series,2016,14000,Manual,24678,65.7,2
 M4,2019,48000,Semi-Auto,2258,34,3
 2 Series,2019,23950,Semi-Auto,4413,46.3,2
 4 Series,2019,26550,Semi-Auto,7292,58.9,2
 X1,2016,18000,Semi-Auto,46354,57.6,2
 6 Series,2018,27990,Semi-Auto,21525,49.6,3
 1 Series,2017,13450,Manual,15663,53.3,1.5
 X5,2017,34990,Automatic,18000,47.1,3
 4 Series,2020,29500,Semi-Auto,17,60.1,2
 5 Series,2019,28500,Semi-Auto,3816,62.8,2
 5 Series,2019,26000,Semi-Auto,4405,48.7,2
 X2,2019,27000,Manual,4825,49.6,2
 4 Series,2019,27000,Semi-Auto,4406,60.1,2
 3 Series,2019,33000,Semi-Auto,11564,49.6,2
 X2,2019,32000,Semi-Auto,10,34,2
 5 Series,2016,14495,Semi-Auto,51700,65.7,2
 3 Series,2013,9498,Semi-Auto,55701,47.9,1.6
 1 Series,2018,23498,Semi-Auto,11131,39.8,3
 3 Series,2020,51000,Semi-Auto,5000,43.5,3
 X3,2016,22000,Semi-Auto,25000,54.3,2
 1 Series,2017,23000,Semi-Auto,18100,39.8,3
 X6,2018,39990,Semi-Auto,7427,40.9,3
 3 Series,2017,17000,Semi-Auto,43362,56.5,3
 1 Series,2017,11990,Manual,18435,53.3,1.5
 1 Series,2019,16500,Semi-Auto,5000,72.4,1.5
 X4,2018,40000,Semi-Auto,4135,37.2,3
 1 Series,2019,27000,Semi-Auto,1214,51.4,2
 M5,2019,72000,Semi-Auto,3545,24.1,4.4
 3 Series,2017,19650,Semi-Auto,43267,62.8,2
 X5,2020,60990,Semi-Auto,3500,33.6,3
 4 Series,2019,22500,Semi-Auto,5623,65.7,2
 M4,2018,43500,Semi-Auto,2577,34,3
 2 Series,2015,18700,Semi-Auto,43617,37.2,3
 X5,2015,26000,Automatic,52936,47.1,3
 7 Series,2017,34000,Semi-Auto,25000,53.3,3
 3 Series,2014,15000,Semi-Auto,56000,55.4,2
 3 Series,2017,18300,Semi-Auto,20000,62.8,2
 4 Series,2015,15990,Semi-Auto,87597,51.4,3
 3 Series,2013,9995,Manual,74449,41.5,2
 X2,2019,23498,Semi-Auto,3241,40.4,2
 3 Series,2019,34450,Semi-Auto,3500,45.6,3
 X7,2019,67400,Semi-Auto,5600,33.6,3
 7 Series,2019,47990,Semi-Auto,7780,34.5,3
 X3,2020,35900,Semi-Auto,4500,54.3,2
 4 Series,2016,18498,Semi-Auto,24188,55.4,3
 X1,2017,18998,Semi-Auto,26939,65.7,2
 X1,2018,16995,Semi-Auto,17276,46.3,1.5
 3 Series,2017,20998,Semi-Auto,26252,51.4,3
 3 Series,2017,15998,Semi-Auto,19675,51.4,2
 1 Series,2019,29000,Semi-Auto,100,48.7,2
 X5,2019,51000,Semi-Auto,6000,37.7,3
 X5,2017,29945,Automatic,30207,47.1,3
 5 Series,2018,24595,Semi-Auto,28502,65.7,2
 5 Series,2014,13990,Semi-Auto,73837,51.4,3
 3 Series,2017,14990,Semi-Auto,48604,67.3,2
 5 Series,2017,22990,Semi-Auto,33492,60.1,2
 5 Series,2013,10495,Semi-Auto,83380,57.6,2
 4 Series,2018,22595,Semi-Auto,18937,48.7,2
 3 Series,2019,27995,Semi-Auto,2460,53.3,2
 X1,2016,17298,Semi-Auto,48697,57.6,2
 X1,2018,16995,Semi-Auto,17276,46.3,1.5
 X1,2017,17995,Manual,23692,58.9,2
 5 Series,2017,21998,Semi-Auto,25260,60.1,2
 X1,2017,16698,Semi-Auto,25291,65.7,2
 1 Series,2015,12298,Semi-Auto,37634,64.2,2
 1 Series,2017,13798,Manual,34446,65.7,2
 1 Series,2018,14000,Manual,19995,37.7,1.5
 4 Series,2018,24000,Manual,24848,36.7,3
 M4,2020,50000,Semi-Auto,700,34,3
 4 Series,2018,21500,Semi-Auto,4038,45.6,2
 3 Series,2016,22000,Semi-Auto,31250,51.4,3
 5 Series,2015,16000,Semi-Auto,64194,51.4,3
 3 Series,2015,18500,Semi-Auto,38218,51.4,3
 3 Series,2019,28000,Automatic,6148,52.3,2
 3 Series,2018,27000,Automatic,13430,49.6,3
 X3,2015,17000,Semi-Auto,35500,47.9,3
 X3,2014,14495,Semi-Auto,56787,54.3,2
 1 Series,2016,16200,Semi-Auto,13369,68.9,1.5
 2 Series,2018,19000,Semi-Auto,3764,53.3,1.5
 4 Series,2017,17495,Manual,13471,46.3,2
 i8,2016,48998,Automatic,10087,134.5,1.5
 X4,2018,36000,Semi-Auto,5000,40.4,3
 M4,2020,43000,Semi-Auto,40,34,3
 3 Series,2020,40000,Semi-Auto,2000,47.9,3
 7 Series,2019,49000,Semi-Auto,7970,44.8,3
 M2,2016,31000,Semi-Auto,14712,35.8,3
 X7,2019,67000,Semi-Auto,4900,33.6,3
 5 Series,2018,30500,Semi-Auto,9671,39.2,3
 2 Series,2019,21500,Semi-Auto,2070,40.9,1.5
 3 Series,2016,19500,Semi-Auto,49104,51.4,3
 1 Series,2016,19000,Semi-Auto,42792,39.8,3
 2 Series,2019,30000,Semi-Auto,5555,38.2,3
 5 Series,2019,42500,Semi-Auto,3555,51.4,3
 3 Series,2016,22500,Semi-Auto,16890,51.4,3
 2 Series,2020,36000,Semi-Auto,5550,36.2,2
 3 Series,2018,25000,Semi-Auto,23555,49.6,3
 2 Series,2018,14998,Manual,2683,44.1,1.5
 X1,2017,16998,Semi-Auto,46622,57.6,2
 3 Series,2016,13298,Semi-Auto,46392,74.3,2
 3 Series,2013,12298,Semi-Auto,73845,54.3,3
 5 Series,2018,23998,Semi-Auto,14052,62.8,2
 3 Series,2019,26498,Semi-Auto,21165,48.7,2
 4 Series,2019,21998,Semi-Auto,19856,65.7,2
 3 Series,2019,23298,Semi-Auto,11974,54.3,2
 1 Series,2015,13500,Manual,31652,62.8,2
 2 Series,2018,17500,Automatic,6079,51.4,2
 1 Series,2019,16600,Manual,7000,68.9,2
 2 Series,2016,16450,Semi-Auto,10250,62.8,2
 X5,2019,49000,Semi-Auto,4860,37.7,3
 X1,2019,25500,Automatic,2984,60.1,2
 3 Series,2016,14000,Manual,30679,62.8,2
 6 Series,2017,27500,Semi-Auto,21083,51.4,3
 1 Series,2017,13500,Manual,16423,72.4,1.5
 4 Series,2019,25000,Manual,4000,55.4,2
 3 Series,2019,32000,Semi-Auto,15114,49.6,3
 5 Series,2017,30000,Semi-Auto,9750,56.5,3
 5 Series,2017,21900,Semi-Auto,38649,65.7,2
 3 Series,2019,34900,Semi-Auto,4600,49.6,2
 1 Series,2019,22700,Semi-Auto,14822,60.1,2
 X2,2018,23900,Semi-Auto,12887,61.4,2
 4 Series,2019,27450,Semi-Auto,8142,52.3,3
 X5,2019,46600,Semi-Auto,9584,37.7,3
 4 Series,2019,26800,Semi-Auto,7667,58.9,2
 1 Series,2015,16450,Semi-Auto,25499,60.1,2
 X1,2019,25000,Manual,3715,68.9,2
 X2,2019,27000,Automatic,49,50.4,2
 3 Series,2019,32000,Automatic,5557,49.6,2
 2 Series,2019,21000,Semi-Auto,2380,40.9,1.5
 2 Series,2019,21000,Manual,3078,39.8,1.5
 2 Series,2019,21000,Manual,1251,42.8,1.5
 2 Series,2019,23500,Semi-Auto,2664,50.4,2
 2 Series,2019,20500,Manual,1612,42.8,1.5
 4 Series,2018,20500,Semi-Auto,6668,65.7,2
 2 Series,2019,20500,Automatic,6679,47.9,2
 2 Series,2019,20500,Automatic,1689,50.4,2
 5 Series,2017,24998,Semi-Auto,24769,60.1,3
 4 Series,2018,20990,Semi-Auto,26706,58.9,2
 X3,2016,18990,Semi-Auto,12996,54.3,2
 2 Series,2019,19500,Manual,1501,42.8,1.5
 2 Series,2019,23500,Semi-Auto,2164,49.6,2
 M4,2020,48000,Semi-Auto,30,34,3
 5 Series,2019,29500,Automatic,3388,60.1,3
 2 Series,2015,12000,Manual,28410,57.6,1.5
 2 Series,2019,24000,Automatic,477,47.9,2
 5 Series,2019,30000,Automatic,10654,60.1,2
 X2,2019,29000,Automatic,2472,48.7,2
 4 Series,2019,25450,Semi-Auto,1000,60.1,2
 X2,2018,24490,Semi-Auto,7100,61.4,2
 X1,2014,12490,Semi-Auto,49400,51.4,2
 2 Series,2019,19750,Semi-Auto,9014,49.6,2
 5 Series,2017,21900,Semi-Auto,23291,65.7,2
 X1,2018,21500,Semi-Auto,12710,44.8,2
 3 Series,2018,27500,Semi-Auto,9329,51.4,3
 X5,2018,34756,Automatic,20630,47.1,3
 1 Series,2017,21514,Semi-Auto,15907,39.8,3
 X1,2016,18998,Semi-Auto,24347,55.4,2
 1 Series,2019,22000,Manual,2574,44.1,1.5
 1 Series,2019,21000,Manual,1906,44.1,1.5
 3 Series,2019,31000,Semi-Auto,1397,50.4,2
 X5,2014,25000,Automatic,38389,47.1,3
 5 Series,2018,23500,Semi-Auto,23650,53.3,3
 1 Series,2013,10500,Manual,48255,62.8,2
 3 Series,2013,15000,Semi-Auto,21940,58.9,2
 X4,2020,43000,Semi-Auto,857,40.9,3
 3 Series,2018,17998,Semi-Auto,19950,65.7,2
 1 Series,2016,15498,Semi-Auto,15621,65.7,2
 1 Series,2019,29398,Semi-Auto,9983,39.8,3
 3 Series,2013,10420,Manual,53352,43.5,2
 2 Series,2016,17998,Semi-Auto,28099,55.4,2
 X1,2016,18998,Semi-Auto,20874,55.4,2
 1 Series,2016,14398,Semi-Auto,21037,68.9,1.5
 1 Series,2017,18998,Manual,17888,36.2,3
 5 Series,2019,26498,Semi-Auto,16466,60.1,2
 3 Series,2015,12998,Semi-Auto,25243,62.8,2
 X1,2016,15998,Manual,45484,58.9,2
 3 Series,2019,27998,Semi-Auto,9624,52.3,2
 1 Series,2016,14998,Manual,23879,62.8,2
 X1,2017,19998,Semi-Auto,17922,55.4,2
 1 Series,2015,13998,Semi-Auto,38279,60.1,2
 3 Series,2015,11998,Manual,40325,52.3,1.5
 5 Series,2017,21498,Semi-Auto,34296,65.7,2
 3 Series,2017,19698,Semi-Auto,44075,51.4,3
 3 Series,2017,21498,Semi-Auto,13102,51.4,3
